,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
0,0,0,0,0,0,0,0,0,3,1,6,4,0,5,6,4,5,7,4,4,5,5,0,0,805068803.7351617,471153386.0199404,0.0,10860.923703170607,0.07713608747578635,0.0,0.0
1,0,0,0,0,0,0,0,0,1,6,7,3,0,4,6,5,2,0,1,4,5,5,0,7,89090383.70471306,511853824.32862127,0.0,1607.7474668432474,0.021120209114886282,0.018698409964799264,0.0
2,0,1,0,0,0,0,0,0,3,7,1,1,9,1,0,8,1,4,1,1,5,4,0,2,6951836.480608226,483211899.7548388,61400000.0,432.9576162693632,0.0001678964205408447,0.0004097757184261327,0.0
3,1,1,1,0,0,0,0,0,3,3,0,0,0,1,0,1,4,3,0,5,6,2,2,0,36971749.42871704,239797418.0035688,600300000.0,2188.9658791510537,0.001753231938145988,0.005263608459870253,0.0
4,0,1,0,1,0,0,0,0,0,2,0,0,6,3,0,6,0,7,5,0,2,2,0,3,0.0,314874750.41701883,702800000.0,0.0,0.0,0.0,0.0
5,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,5,5,3,5,4,1,5,7,1,628880256.532409,419234475.8179298,84600000.0,0.0,0.48962753134171827,0.0,0.0
6,0,1,0,1,0,0,0,0,0,2,4,0,0,2,0,6,0,3,2,7,2,2,0,3,78658468.7048096,284794691.49755293,485000000.0,0.0,0.06137173016201264,0.0,0.0
7,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,4,0,6,6,7,1,1,0,0,79746084.14324097,228874293.82575718,321100000.0,0.0,0.03506478299058587,0.0648433737149832,0.0
8,0,1,0,0,0,0,0,0,0,7,6,1,4,0,5,8,0,4,1,8,5,5,0,0,5229773.896104155,463339556.53211516,30700000.0,0.0,0.0013991368378403724,0.002439505443942804,0.0
9,1,0,0,0,0,0,0,0,3,7,3,0,0,2,1,7,1,3,6,6,9,5,0,1,19448822.570459466,418363387.0775025,30700000.0,1143.8255511689379,0.002512354094847167,0.0,0.0
