,Policy Number,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,1,4,0,5,8,0,4,1,8,5,5,0,0
1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,3,0,0,2,1,7,1,3,6,6,9,5,0,1
2,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,5,0,1,2,0,7,7,4,9,0,5,2,3,3
3,117,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,2,4,1,0,10,0,1,2,5,4,1,0,0
4,127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,2,4,1,0,4,3,1,1,3,4,1,0,0
5,142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,0,4,0,2,7,7,1,0,3,2,2,2,1,0
6,195,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,0,7,1,2,0,6,2,0,3,6,0,2,0,0
7,261,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,9,0,0,3,3,0,5,3,7,2,1,3,5,3,3
8,314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,3,0,0,3,0,6,3,4,2,2,3,2,0,0
9,359,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,3,5,2,0,8,0,3,3,5,4,3,0,0
10,398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,1,5,0,7,5,4,2,3,4,1,1,3
