,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
0,128.0,36.81605849477838,1.0,0.13992592817862187,244.43360321377418,10,0.54704279221405,202.13669627176304,1.5,0.2632928580994195,89.57420767179698,1.5,0.4396712901413199,47.44390989940018,1.5,0.6778440659535194,3.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,No_measures,dikesnet,No_measures,2891188577.8991895,0,0.0,0.0,2.0566619527779006,1.0684953656276104,0.0
1,6.0,208.96253390861898,10,0.7011878768481925,253.51927310635176,10,0.5737211343833694,73.06136453806086,1.0,0.7650968948886531,53.21716673466146,10,0.006083660776513192,117.08251776828725,1.0,0.23793623367042072,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,No_measures,dikesnet,No_measures,198336506.6062308,0,0.0,0.0,0.06648211459495024,0.1479212801835751,0.0
2,115.0,143.91622147113537,10,0.1116156861739944,154.84416990121048,1.5,0.48406625346237653,129.28024124855,1.0,0.2285967485522071,177.79079509639666,10,0.21255570758080888,327.0302029008723,10,0.12701870326499687,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,No_measures,dikesnet,No_measures,2651284481.1642985,0,0.0,0.0,1.9963360064317568,0.28774164307180417,0.0
3,42.0,295.8871527503284,1.5,0.823637851602471,125.76369908931213,10,0.6995819001278053,340.60330305166696,1.5,0.38350236312153096,227.88777766885477,1.5,0.5096596532369472,86.86897919034055,1.0,0.46533860576140085,3.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,No_measures,dikesnet,No_measures,349910140.4219835,0,0.0,0.0,0.03273129152226763,0.6338551345960068,0.0
4,62.0,98.72083186107892,10,0.42979311118021424,331.57243197287204,1.0,0.10560910694469287,167.15895831820458,1.0,0.11968310155412291,42.94477034672772,1.0,0.7934328459483834,82.12923229650403,1.0,0.7433480094776607,2.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,No_measures,dikesnet,No_measures,3551480618.585949,0,0.0,0.0,1.18035334311564,3.5625648008774338,0.0
5,97.0,154.10247778253404,1.5,0.7771394375378572,253.14362388646828,10,0.9355843914368163,167.56742470075292,1.0,0.5952982822092099,236.14197364544162,1.0,0.15860612180466285,164.02873586546622,1.0,0.5899595237088237,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,No_measures,dikesnet,No_measures,201970468.0175182,0,0.0,0.0,0.011823017834358619,0.23503974397463462,0.0
6,111.0,143.74523909660365,1.5,0.7495198334245434,210.9092527489384,1.0,0.2708592813174905,268.0713163109393,10,0.6626298832324905,303.25345727985797,1.0,0.10078756579672299,289.47114754712754,10,0.017337384564690833,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,No_measures,dikesnet,No_measures,1004119518.034148,0,0.0,0.0,0.17014463876870067,0.04914946259091624,0.7538168598602705
7,63.0,239.70732185794145,10,0.011623729532543422,38.857148644958365,1.0,0.9406261814162704,193.24892394152673,1.0,0.22566627601599512,55.394269264678336,1.0,0.9957406873088708,194.67997377160566,1.0,0.46157312280364854,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,No_measures,dikesnet,No_measures,3211496595.3444595,0,0.0,0.0,2.0198942236856543,0.047930080451435264,0.0
8,15.0,108.00627615313854,1.0,0.7439872163718702,327.7873449985605,1.0,0.7136972009109905,149.22593832739483,1.5,0.6473480531842887,171.11566172348455,10,0.7094919227801048,35.981792448952916,1.0,0.5541429962271532,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,No_measures,dikesnet,No_measures,263082923.85956642,0,0.0,0.0,0.03988754694118314,0.16231609199039998,0.09890567704290383
9,42.0,222.31826884230054,10,0.9074710126816301,241.289119667689,1.5,0.8475955170010345,237.53270001315428,1.0,0.8933899666276782,56.16324906330916,1.5,0.3428132288534183,307.02502575347864,10,0.26655892836589307,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,No_measures,dikesnet,No_measures,326052189.2481985,0,0.0,0.0,0.017160202050357818,0.08255012028485967,0.17419227069762372
